"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"27.01.2020","308,95","310,06","311,77","304,88","40,49M","-2,94%"
"24.01.2020","318,31","320,25","323,33","317,52","36,63M","-0,29%"
"23.01.2020","319,23","317,92","319,56","315,65","26,12M","0,48%"
"22.01.2020","317,70","318,58","319,99","317,31","25,46M","0,36%"
"21.01.2020","316,57","317,19","319,02","316,00","27,71M","-0,68%"
"17.01.2020","318,73","316,27","318,74","315,00","34,45M","1,11%"
"16.01.2020","315,24","313,59","315,70","312,09","27,21M","1,25%"
"15.01.2020","311,34","311,85","315,50","309,55","30,48M","-0,43%"
"14.01.2020","312,68","316,70","317,57","312,17","40,65M","-1,35%"
"13.01.2020","316,96","311,64","317,07","311,15","30,52M","2,14%"
"10.01.2020","310,33","310,60","312,67","308,25","35,22M","0,23%"
"09.01.2020","309,63","307,24","310,43","306,20","42,62M","2,12%"
"08.01.2020","303,19","297,16","304,44","297,16","33,09M","1,61%"
"07.01.2020","298,39","299,84","300,90","297,48","27,88M","-0,47%"
"06.01.2020","299,80","293,79","299,96","292,75","29,64M","0,80%"
"03.01.2020","297,43","297,15","300,58","296,50","36,63M","-0,97%"
"02.01.2020","300,35","296,24","300,60","295,19","33,91M","2,28%"
"31.12.2019","293,65","289,93","293,68","289,52","25,25M","0,73%"
"30.12.2019","291,52","289,46","292,69","285,22","36,06M","0,59%"
"27.12.2019","289,80","291,12","293,97","288,12","36,59M","-0,04%"
"26.12.2019","289,91","284,82","289,98","284,70","23,33M","1,98%"
"24.12.2019","284,27","284,69","284,89","282,92","12,12M","0,10%"
"23.12.2019","284,00","280,53","284,25","280,37","24,68M","1,63%"
"20.12.2019","279,44","282,23","282,65","278,56","69,03M","-0,21%"
"19.12.2019","280,02","279,50","281,18","278,95","24,63M","0,10%"
"18.12.2019","279,74","279,80","281,90","279,12","29,02M","-0,24%"
"17.12.2019","280,41","279,57","281,77","278,80","28,58M","0,20%"
"16.12.2019","279,86","277,00","280,79","276,98","32,08M","1,71%"
"13.12.2019","275,15","271,46","275,30","270,93","33,43M","1,36%"
"12.12.2019","271,46","267,78","272,56","267,32","34,44M","0,25%"
"11.12.2019","270,77","268,81","271,10","268,50","19,72M","0,85%"
"10.12.2019","268,48","268,60","270,07","265,86","22,63M","0,58%"
"09.12.2019","266,92","270,00","270,80","264,91","32,18M","-1,40%"
"06.12.2019","270,71","267,48","271,00","267,30","26,55M","1,93%"
"05.12.2019","265,58","263,79","265,89","262,73","18,66M","1,47%"
"04.12.2019","261,74","261,07","263,31","260,68","16,81M","0,88%"
"03.12.2019","259,45","258,31","259,53","256,29","29,38M","-1,78%"
"02.12.2019","264,16","267,27","268,25","263,45","23,69M","-1,16%"
"29.11.2019","267,25","266,60","268,00","265,90","11,65M","-0,22%"
"27.11.2019","267,84","265,58","267,98","265,31","16,39M","1,34%"
"26.11.2019","264,29","266,94","267,16","262,50","26,33M","-0,78%"
"25.11.2019","266,37","262,71","266,44","262,52","21,03M","1,75%"
"22.11.2019","261,78","262,59","263,18","260,84","16,33M","-0,09%"
"21.11.2019","262,01","263,69","264,00","261,18","30,35M","-0,45%"
"20.11.2019","263,19","265,54","266,08","260,40","26,61M","-1,16%"
"19.11.2019","266,29","267,90","268,00","265,39","19,07M","-0,30%"
"18.11.2019","267,10","265,80","267,43","264,23","21,70M","0,50%"
"15.11.2019","265,76","263,68","265,78","263,01","25,09M","1,19%"
"14.11.2019","262,64","263,75","264,88","262,10","22,40M","-0,69%"
"13.11.2019","264,47","261,13","264,78","261,07","25,82M","0,96%"
"12.11.2019","261,96","261,55","262,79","260,92","21,85M","-0,09%"
"11.11.2019","262,20","258,30","262,47","258,28","20,51M","0,79%"
"08.11.2019","260,14","258,69","260,44","256,85","17,52M","0,27%"
"07.11.2019","259,43","258,74","260,35","258,11","23,74M","0,85%"
"06.11.2019","257,24","256,77","257,49","255,37","18,97M","0,04%"
"05.11.2019","257,13","257,05","258,19","256,32","19,97M","-0,14%"
"04.11.2019","257,50","257,33","257,85","255,38","25,82M","0,66%"
"01.11.2019","255,82","249,54","255,93","249,16","37,78M","2,84%"
"31.10.2019","248,76","247,24","249,17","237,26","34,79M","2,26%"
"30.10.2019","243,26","244,76","245,30","241,21","31,13M","-0,01%"
"29.10.2019","243,29","248,97","249,75","242,57","35,71M","-2,31%"
"28.10.2019","249,05","247,42","249,25","246,72","24,14M","1,00%"
"25.10.2019","246,58","243,16","246,73","242,88","18,37M","1,23%"
